from,to,distance
842,733,0.789489
733,842,0.789489
558,522,0.789269
1826,1329,0.789263
520,552,0.788910
1730,1681,0.788887
1760,967,0.788827
602,637,0.788706
1638,1691,0.788597
1559,1736,0.788493
1566,1048,0.787874
1927,1226,0.787356
668,649,0.787300
1668,1702,0.787289
594,548,0.787024
1618,2087,0.786755
316,110,0.786706
1904,1932,0.786570
558,692,0.786520
1895,1928,0.786370
1690,1719,0.785817
351,95,0.785811
602,487,0.785674
2163,155,0.785496
2125,1243,0.785316
1588,1594,0.785002
1594,1588,0.785002
1784,1796,0.784710
866,1125,0.784536
1927,1896,0.784484
1327,1304,0.784347
2234,2543,0.783831
668,595,0.783316
1974,1008,0.782998
431,204,0.782930
706,664,0.782762
1530,1329,0.782347
1697,233,0.782081
1786,10,0.781979
2088,2127,0.781903
1712,1759,0.781895
420,382,0.781602
744,830,0.781568
830,744,0.781568
1292,1888,0.781503
1901,527,0.781392
258,1989,0.781217
1019,1018,0.780939
1639,1732,0.780933
908,292,0.780929
1292,1943,0.780581
677,1111,0.780555
553,1803,0.780498
789,2313,0.779675
1808,1100,0.779558
1100,1808,0.779558
2154,166,0.779395
1920,1906,0.778998
743,789,0.778974
866,1930,0.778780
1930,866,0.778780
1327,922,0.778735
890,1861,0.778668
1931,1325,0.778470
1890,2036,0.778434
2036,1890,0.778434
1743,1779,0.778359
1921,2118,0.778345
2118,1921,0.778345
1065,1063,0.778211
1063,1065,0.778211
1019,1002,0.778162
795,297,0.778122
1937,2037,0.777453
1712,582,0.777235
258,173,0.777065
603,480,0.776651
1137,1092,0.776643
703,1255,0.776485
862,2270,0.776358
1532,2093,0.775850
1901,879,0.775808
826,2603,0.775665
677,581,0.775548
721,165,0.775333
1944,1930,0.775286
174,33,0.775103
33,174,0.775103
1071,1047,0.774744
737,846,0.774461
1420,228,0.774285
1843,515,0.774180
665,1539,0.773852
1726,565,0.773838
1143,1006,0.773227
1808,1812,0.773173
2192,1065,0.772829
507,559,0.772435
2009,1901,0.772289
1387,215,0.772222
1931,1226,0.771994
32,33,0.771851
33,32,0.771851
767,889,0.771704
737,1944,0.771682
27,354,0.771609
604,498,0.771282
2036,2009,0.771109
507,460,0.770711
594,517,0.770526
1516,2297,0.770463
853,744,0.770288
744,853,0.770288
1726,1652,0.770005
174,322,0.769876
703,666,0.769425
2300,378,0.769187
2101,511,0.769174
1623,126,0.769072
1920,1902,0.768660
1238,2484,0.768627
1315,1313,0.768237
810,805,0.768181
815,874,0.768023
1571,1592,0.767774
1615,2163,0.767711
1921,1313,0.767447
1594,705,0.767242
827,1944,0.766838
1144,1006,0.766834
27,1008,0.766812
1706,234,0.766794
833,378,0.766286
1950,978,0.766217
2089,1435,0.766173
2089,2361,0.765948
2070,1901,0.765656
1118,1130,0.765311
1477,1304,0.765260
818,827,0.764473
827,818,0.764473
2717,42,0.764399
2117,2036,0.764160
1516,1228,0.763774
1477,1534,0.763347
2185,357,0.763161
830,1421,0.763130
2252,1943,0.762905
1102,1115,0.762832
2196,1979,0.761976
1238,2463,0.761940
1922,1901,0.761884
1600,2057,0.761627
1571,1597,0.760848
862,155,0.760669
2153,1243,0.760640
1023,1018,0.760384
1332,2037,0.759925
801,907,0.759715
775,866,0.759579
2024,1118,0.758875
1106,1508,0.758835
1916,916,0.758735
734,827,0.757764
1451,2465,0.757681
914,379,0.757190
2153,1361,0.757178
1952,2219,0.756776
2219,1952,0.756776
1451,1516,0.756732
1324,2037,0.756607
1028,1083,0.756520
2185,803,0.756420
1487,1516,0.756269
801,749,0.756193
1566,1539,0.754806
1033,1037,0.754775
2070,2677,0.754748
2120,2126,0.754746
2717,1544,0.754715
1028,2052,0.754623
1106,173,0.754377
1767,1730,0.754308
734,830,0.754047
1747,1542,0.753386
2212,1477,0.753359
833,27,0.753088
733,818,0.752339
818,733,0.752339
908,871,0.751601
1324,1332,0.751330
1332,1324,0.751330
914,897,0.751167
1937,289,0.751091
797,2178,0.750981
167,2154,0.750504
502,166,0.750223
2106,165,0.749169
1903,1931,0.748471
1916,852,0.748317
775,853,0.747360
2210,1931,0.747053
1898,2070,0.746824
1033,982,0.746538
1939,1923,0.746242
1923,1939,0.746242
1939,1182,0.745437
502,261,0.744325
2167,1907,0.743992
32,35,0.743481
706,616,0.743326
2167,2142,0.743088
2150,2123,0.742856
2150,816,0.741295
1767,1599,0.741183
2193,2036,0.741183
1890,2009,0.740929
1923,1892,0.740430
1400,1314,0.739369
2440,895,0.739080
604,504,0.738532
1400,1487,0.737978
15,2337,0.737775
799,848,0.736390
2106,2127,0.735667
1387,297,0.735139
799,895,0.734044
743,1970,0.733562
2219,2041,0.733539
2307,477,0.733361
2307,615,0.731635
695,668,0.730898
15,16,0.729802
48,868,0.727377
842,775,0.726265
543,679,0.726068
1903,1906,0.725883
800,1890,0.724277
543,1749,0.723519
2196,1720,0.723077
1318,420,0.722859
2440,2477,0.722305
900,1129,0.721124
2210,1927,0.721007
695,646,0.719986
2137,1903,0.719822
48,840,0.719189
2045,1243,0.717004
2045,1228,0.714541
800,2117,0.714341
900,379,0.711792
1898,840,0.710431
31,174,0.708721
2137,789,0.707437
1318,1225,0.706133
1727,1686,0.705024
1841,1858,0.702703
167,261,0.701611
1841,1654,0.700551
2193,2357,0.696185
31,2313,0.693421
2287,2116,0.678967
2287,1332,0.673181
2212,2210,0.671736
1908,2118,0.666514
1940,27,0.654234
1727,1747,0.653434
869,908,0.611826
869,733,0.611328
2197,1727,0.608492
2197,1736,0.605861
