from,to,distance
1432,1466,0.998215
1466,1432,0.998215
2687,2701,0.988972
2701,2687,0.988972
728,729,0.988803
729,728,0.988803
870,722,0.987038
722,870,0.987038
2420,2683,0.985335
2683,2420,0.985335
1194,1312,0.984692
1312,1194,0.984692
2567,2630,0.984369
2630,2567,0.984369
854,855,0.982901
855,854,0.982901
2501,2630,0.982662
2630,2501,0.982662
742,902,0.982591
902,742,0.982591
1992,2012,0.982519
2012,1992,0.982519
2501,2567,0.981978
2567,2501,0.981978
178,5,0.981629
5,178,0.981629
120,45,0.981256
45,120,0.981256
2010,1983,0.981245
1983,2010,0.981245
2306,1960,0.981231
1960,2306,0.981231
2627,2513,0.981156
2513,2627,0.981156
2353,2354,0.981022
2354,2353,0.981022
2586,2591,0.980989
2591,2586,0.980989
2683,2531,0.980955
2531,2683,0.980955
2579,2631,0.980877
2631,2579,0.980877
1961,2012,0.980683
2012,1961,0.980683
1961,1983,0.980544
1983,1961,0.980544
1978,2012,0.980447
2579,2501,0.980444
2631,2501,0.980436
1978,1961,0.980300
2277,1983,0.980263
104,418,0.980011
418,104,0.980011
2530,2683,0.979803
2277,2350,0.979606
2350,2277,0.979606
2593,2529,0.979465
2529,2593,0.979465
2627,2501,0.979434
2350,2012,0.979386
2308,2366,0.979262
2366,2308,0.979262
1909,1910,0.979231
1910,1909,0.979231
1960,2022,0.979069
2022,1960,0.979069
2384,2579,0.979057
2010,1961,0.979037
2273,1966,0.978989
1966,2273,0.978989
2513,2630,0.978977
1430,1281,0.978739
1281,1430,0.978739
2310,2035,0.978610
2035,2310,0.978610
2271,2277,0.978602
324,3,0.978407
3,324,0.978407
2271,2008,0.978407
2008,2271,0.978407
2306,2310,0.978300
2310,2306,0.978300
2384,2501,0.978297
2309,2277,0.978009
74,239,0.977924
239,74,0.977924
2638,2586,0.977632
2586,2638,0.977632
2304,1983,0.977460
2279,2264,0.977277
2264,2279,0.977277
2276,2035,0.977255
2035,2276,0.977255
418,160,0.977219
160,418,0.977219
2638,2591,0.977088
2591,2638,0.977088
2304,1961,0.977021
1513,1491,0.976615
1491,1513,0.976615
2532,2593,0.976593
2593,2532,0.976593
2323,1994,0.976577
1994,2323,0.976577
1227,1430,0.976476
1430,1227,0.976476
2366,1960,0.976295
2349,2264,0.976260
2264,2349,0.976260
2273,2323,0.976213
2323,2273,0.976213
1513,1432,0.976202
1432,1513,0.976202
1391,1222,0.976180
1222,1391,0.976180
1984,1994,0.976135
1994,1984,0.976135
2102,2017,0.975976
2017,2102,0.975976
104,74,0.975953
74,104,0.975953
1963,2308,0.975803
2308,1963,0.975803
1992,2350,0.975716
2053,2017,0.975663
2017,2053,0.975663
2236,2058,0.975656
2058,2236,0.975656
1957,1958,0.975585
1958,1957,0.975585
2420,2531,0.975548
2531,2420,0.975548
1375,1484,0.975495
1484,1375,0.975495
2236,2309,0.975382
2309,2236,0.975382
2532,2529,0.975161
2529,2532,0.975161
45,74,0.975003
1466,1491,0.974930
1491,1466,0.974930
2396,2532,0.974847
239,269,0.974780
269,239,0.974780
